Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.552091,0.595711,0.606090,0.651625,0.630709,
0.552091,0.595711,0.606090,0.651625,0.630709,
0.551880,0.594908,0.605985,0.651412,0.630672,
0.551880,0.594908,0.605985,0.651412,0.630672,
0.552647,0.593091,0.597567,0.651084,0.630126,
0.552647,0.593091,0.597567,0.651084,0.630126,
0.551159,0.586635,0.601380,0.651330,0.630255,
0.551159,0.586635,0.601380,0.651330,0.630255,
0.551765,0.581446,0.604188,0.651184,0.630202,
0.551765,0.581446,0.604188,0.651184,0.630202,
0.550422,0.564460,0.597135,0.650992,0.630042,
0.550422,0.564460,0.597135,0.650992,0.630042,
0.551584,0.565515,0.600547,0.651041,0.630074,
0.551584,0.565515,0.600547,0.651041,0.630074,
0.549519,0.568089,0.592062,0.651227,0.630339,
0.549519,0.568089,0.592062,0.651227,0.630339,
0.544818,0.560120,0.596108,0.659081,0.630566,
0.544818,0.560120,0.596108,0.659081,0.630566,
0.541899,0.573212,0.588467,0.650863,0.629885,
0.541899,0.573212,0.588467,0.650863,0.629885,
0.541118,0.575319,0.587287,0.650609,0.629637,
0.541118,0.575319,0.587287,0.650609,0.629637,
0.542180,0.572425,0.588288,0.650299,0.629357,
0.542180,0.572425,0.588288,0.650299,0.629357,
0.541434,0.579559,0.584908,0.650337,0.629422,
0.541434,0.579559,0.584908,0.650337,0.629422,
0.542000,0.574296,0.585672,0.650073,0.629354,
0.542000,0.574296,0.585672,0.650073,0.629354,
0.541880,0.566900,0.570376,0.649768,0.629271,
0.541880,0.566900,0.570376,0.649768,0.629271,
0.536433,0.566862,0.570948,0.649710,0.629139,
0.536433,0.566862,0.570948,0.649710,0.629139,
0.537005,0.566781,0.594427,0.649929,0.629437,
0.537005,0.566781,0.594427,0.649929,0.629437,
0.537000,0.565543,0.593172,0.649784,0.629424,
0.537000,0.565543,0.593172,0.649784,0.629424,
0.535230,0.574965,0.623063,0.649570,0.629522,
0.535230,0.574965,0.623063,0.649570,0.629522,
0.534730,0.572538,0.624363,0.649781,0.629677,
0.534730,0.572538,0.624363,0.649781,0.629677,
0.532748,0.559704,0.623002,0.649693,0.629426,
0.532748,0.559704,0.623002,0.649693,0.629426,
0.531631,0.558792,0.624184,0.649194,0.629584,
0.531631,0.558792,0.624184,0.649194,0.629584,
0.528331,0.558443,0.600722,0.649031,0.629551,
0.528331,0.558443,0.600722,0.649031,0.629551,
0.527207,0.559959,0.602990,0.648791,0.629174,
0.527207,0.559959,0.602990,0.648791,0.629174,
0.526412,0.561417,0.598406,0.648786,0.628870,
0.526412,0.561417,0.598406,0.648786,0.628870,
0.523252,0.587846,0.597584,0.648878,0.628770,
0.523252,0.587846,0.597584,0.648878,0.628770,
0.524025,0.587914,0.596148,0.649039,0.628914,
0.524025,0.587914,0.596148,0.649039,0.628914,
0.525983,0.571002,0.600167,0.649008,0.629273,
0.525983,0.571002,0.600167,0.649008,0.629273,
