Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.607076,0.534557,0.639407,0.590356,0.613547,
0.607076,0.534557,0.639407,0.590356,0.613547,
0.607899,0.534859,0.640719,0.590766,0.613662,
0.607899,0.534859,0.640719,0.590766,0.613662,
0.610354,0.535461,0.640898,0.591192,0.623489,
0.610354,0.535461,0.640898,0.591192,0.623489,
0.612060,0.537204,0.640827,0.591803,0.623150,
0.612060,0.537204,0.640827,0.591803,0.623150,
0.613224,0.538316,0.639987,0.592002,0.623578,
0.613224,0.538316,0.639987,0.592002,0.623578,
0.614981,0.539432,0.640044,0.592475,0.614271,
0.614981,0.539432,0.640044,0.592475,0.614271,
0.616791,0.539951,0.634355,0.592705,0.614331,
0.616791,0.539951,0.634355,0.592705,0.614331,
0.617849,0.540308,0.634507,0.592856,0.614854,
0.617849,0.540308,0.634507,0.592856,0.614854,
0.618841,0.540900,0.633990,0.593085,0.614928,
0.618841,0.540900,0.633990,0.593085,0.614928,
0.619232,0.541366,0.635488,0.593209,0.614984,
0.619232,0.541366,0.635488,0.593209,0.614984,
0.619940,0.541746,0.636893,0.593217,0.613926,
0.619940,0.541746,0.636893,0.593217,0.613926,
0.620892,0.542250,0.638653,0.593347,0.623873,
0.620892,0.542250,0.638653,0.593347,0.623873,
0.621353,0.531765,0.640406,0.593392,0.623922,
0.621353,0.531765,0.640406,0.593392,0.623922,
0.621677,0.552241,0.638198,0.593458,0.615184,
0.621677,0.552241,0.638198,0.593458,0.615184,
0.622422,0.544507,0.640455,0.593538,0.615252,
0.622422,0.544507,0.640455,0.593538,0.615252,
0.622794,0.545492,0.640787,0.593713,0.615132,
0.622794,0.545492,0.640787,0.593713,0.615132,
0.623411,0.545457,0.640130,0.593898,0.619294,
0.623411,0.545457,0.640130,0.593898,0.619294,
0.624250,0.544514,0.641264,0.593600,0.619215,
0.624250,0.544514,0.641264,0.593600,0.619215,
0.624781,0.533925,0.637897,0.593809,0.615510,
