Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.904765,1.289240,0.665476,1.117928,0.931700,
0.904765,1.289240,0.665476,1.117928,0.931700,
0.911388,1.319953,0.645338,1.121192,0.925054,
0.911388,1.319953,0.645338,1.121192,0.925054,
0.916426,1.337647,0.625023,1.122809,0.916116,
0.916426,1.337647,0.625023,1.122809,0.916116,
0.921770,1.346789,0.610355,1.122583,0.903265,
0.921770,1.346789,0.610355,1.122583,0.903265,
0.924010,1.356995,0.599441,1.115042,0.885788,
0.924010,1.356995,0.599441,1.115042,0.885788,
0.927566,1.341447,0.594005,1.103968,0.853458,
0.927566,1.341447,0.594005,1.103968,0.853458,
0.929881,1.329876,0.595183,1.102225,0.854288,
0.929881,1.329876,0.595183,1.102225,0.854288,
0.933171,1.300260,0.600982,1.098645,0.835626,
0.933171,1.300260,0.600982,1.098645,0.835626,
0.936328,1.276639,0.613629,1.108846,0.816490,
0.936328,1.276639,0.613629,1.108846,0.816490,
0.940374,1.249161,0.627111,1.135770,0.811636,
0.940374,1.249161,0.627111,1.135770,0.811636,
0.944387,1.221995,0.639776,1.112112,0.795655,
0.944387,1.221995,0.639776,1.112112,0.795655,
0.945831,1.191130,0.649089,1.122540,0.789508,
0.945831,1.191130,0.649089,1.122540,0.789508,
0.947271,1.166342,0.659562,1.102980,0.782119,
0.947271,1.166342,0.659562,1.102980,0.782119,
0.946777,1.140436,0.673458,1.091800,0.770697,
0.946777,1.140436,0.673458,1.091800,0.770697,
0.945410,1.123218,0.688212,1.120610,0.758995,
0.945410,1.123218,0.688212,1.120610,0.758995,
0.938009,1.100402,0.703219,1.127432,0.749011,
0.938009,1.100402,0.703219,1.127432,0.749011,
0.933190,1.085579,0.719677,1.120692,0.748761,
0.933190,1.085579,0.719677,1.120692,0.748761,
0.926311,1.067342,0.731115,1.123376,0.744127,
0.926311,1.067342,0.731115,1.123376,0.744127,
0.917912,1.052159,0.730172,1.127803,0.747437,
0.917912,1.052159,0.730172,1.127803,0.747437,
0.905810,1.035928,0.726832,1.118267,0.740285,
0.905810,1.035928,0.726832,1.118267,0.740285,
0.896511,1.023473,0.726953,1.114372,0.746938,
0.896511,1.023473,0.726953,1.114372,0.746938,
0.879943,1.008989,0.727961,1.076629,0.742523,
0.879943,1.008989,0.727961,1.076629,0.742523,
