Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.434719,0.590464,0.518350,0.436640,0.434401,
0.428454,0.577805,0.604268,0.429977,0.435655,
0.428454,0.577805,0.604268,0.429977,0.435655,
0.428454,0.577805,0.604268,0.429977,0.435655,
0.417588,0.562237,0.597013,0.426643,0.389763,
0.417588,0.562237,0.597013,0.426643,0.389763,
0.412921,0.556781,0.612041,0.418259,0.371199,
0.407548,0.555301,0.575812,0.410174,0.355508,
0.407548,0.555301,0.575812,0.410174,0.355508,
0.407548,0.555301,0.575812,0.410174,0.355508,
0.402783,0.538901,0.582387,0.411300,0.344326,
0.397071,0.536531,0.569054,0.400434,0.332083,
0.397071,0.536531,0.569054,0.400434,0.332083,
0.391066,0.541561,0.562873,0.404375,0.334791,
0.391066,0.541561,0.562873,0.404375,0.334791,
0.391066,0.541561,0.562873,0.404375,0.334791,
0.384697,0.541408,0.584966,0.410055,0.371739,
0.384697,0.541408,0.584966,0.410055,0.371739,
0.377342,0.519174,0.575001,0.407012,0.335032,
0.371234,0.517504,0.577232,0.402718,0.335348,
0.371234,0.517504,0.577232,0.402718,0.335348,
0.371234,0.517504,0.577232,0.402718,0.335348,
0.366349,0.521900,0.573237,0.400148,0.332521,
HUG START
HUG STOP
1.027245,1.203294,1.105466,1.377484,1.163664,
1.046908,1.223455,1.114417,1.389923,1.186539,
1.046908,1.223455,1.114417,1.389923,1.186539,
1.066207,1.239620,1.125243,1.407697,1.193390,
1.066207,1.239620,1.125243,1.407697,1.193390,
1.066207,1.239620,1.125243,1.407697,1.193390,
1.086513,1.263352,1.136093,1.426001,1.202921,
1.111009,1.287075,1.150422,1.448220,1.224429,
1.111009,1.287075,1.150422,1.448220,1.224429,
1.131007,1.314878,1.168105,1.458611,1.217656,
1.131007,1.314878,1.168105,1.458611,1.217656,
1.131007,1.314878,1.168105,1.458611,1.217656,
1.159046,1.346941,1.187106,1.470080,1.226000,
1.181507,1.381092,1.210618,1.483716,1.236983,
1.181507,1.381092,1.210618,1.483716,1.236983,
1.205630,1.411965,1.232255,1.490693,1.249232,
1.205630,1.411965,1.232255,1.490693,1.249232,
1.225090,1.446112,1.252717,1.494167,1.245906,
1.225090,1.446112,1.252717,1.494167,1.245906,
1.244213,1.474870,1.275172,1.525203,1.283631,
1.244213,1.474870,1.275172,1.525203,1.283631,
1.263463,1.502160,1.298310,1.527722,1.311445,
1.263463,1.502160,1.298310,1.527722,1.311445,
1.263463,1.502160,1.298310,1.527722,1.311445,
1.280626,1.523255,1.310122,1.517981,1.315680,
1.280626,1.523255,1.310122,1.517981,1.315680,
1.293678,1.539777,1.316014,1.522212,1.324982,
1.305514,1.558163,1.335311,1.524104,1.356114,
1.305514,1.558163,1.335311,1.524104,1.356114,
1.305514,1.558163,1.335311,1.524104,1.356114,
1.317509,1.567064,1.331458,1.530600,1.369169,
1.329444,1.576741,1.334123,1.530323,1.395348,
1.329444,1.576741,1.334123,1.530323,1.395348,
1.338737,1.580652,1.346129,1.531905,1.408773,
1.338737,1.580652,1.346129,1.531905,1.408773,
1.338737,1.580652,1.346129,1.531905,1.408773,
1.347535,1.582437,1.345372,1.532559,1.419672,
1.355876,1.577735,1.334398,1.506048,1.450386,
1.355876,1.577735,1.334398,1.506048,1.450386,
1.362673,1.571288,1.325912,1.508668,1.453503,
1.362673,1.571288,1.325912,1.508668,1.453503,
1.362673,1.571288,1.325912,1.508668,1.453503,
1.369076,1.557332,1.317321,1.515046,1.459947,
1.374737,1.542675,1.308685,1.536104,1.467023,
1.374737,1.542675,1.308685,1.536104,1.467023,
1.380170,1.529352,1.301373,1.534584,1.430256,
1.380170,1.529352,1.301373,1.534584,1.430256,
1.380170,1.529352,1.301373,1.534584,1.430256,
1.384193,1.512796,1.296312,1.534810,1.476318,
1.387943,1.497792,1.286335,1.529773,1.474686,
1.387943,1.497792,1.286335,1.529773,1.474686,
1.390434,1.482732,1.270964,1.531194,1.476243,
1.390434,1.482732,1.270964,1.531194,1.476243,
1.390434,1.482732,1.270964,1.531194,1.476243,
1.393827,1.473065,1.261979,1.530771,1.477548,
1.396146,1.456415,1.252736,1.528457,1.476592,
1.396146,1.456415,1.252736,1.528457,1.476592,
1.398793,1.446127,1.243562,1.518170,1.482541,
1.398793,1.446127,1.243562,1.518170,1.482541,
