Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.644041,0.600781,0.646003,0.569535,0.591915,
0.644041,0.600781,0.646003,0.569535,0.591915,
0.645983,0.603881,0.648093,0.569851,0.585269,
0.645983,0.603881,0.648093,0.569851,0.585269,
0.660047,0.605040,0.648905,0.569106,0.595367,
0.660047,0.605040,0.648905,0.569106,0.595367,
0.660689,0.607415,0.649031,0.569377,0.595630,
0.660689,0.607415,0.649031,0.569377,0.595630,
0.662385,0.609517,0.650029,0.569745,0.589173,
0.662385,0.609517,0.650029,0.569745,0.589173,
0.663778,0.610902,0.649978,0.570501,0.588991,
0.663778,0.610902,0.649978,0.570501,0.588991,
0.664573,0.609793,0.647946,0.572166,0.589469,
0.664573,0.609793,0.647946,0.572166,0.589469,
0.665235,0.608710,0.648513,0.572231,0.590992,
0.665235,0.608710,0.648513,0.572231,0.590992,
0.662519,0.610066,0.649692,0.572279,0.588717,
0.662519,0.610066,0.649692,0.572279,0.588717,
0.661473,0.610288,0.650185,0.572029,0.588847,
0.661473,0.610288,0.650185,0.572029,0.588847,
0.660837,0.609651,0.652271,0.571209,0.590333,
0.660837,0.609651,0.652271,0.571209,0.590333,
0.661105,0.610691,0.653012,0.571150,0.592069,
0.661105,0.610691,0.653012,0.571150,0.592069,
0.660917,0.609610,0.654374,0.571245,0.601806,
0.660917,0.609610,0.654374,0.571245,0.601806,
0.660650,0.603181,0.655078,0.571089,0.582501,
0.660650,0.603181,0.655078,0.571089,0.582501,
0.660521,0.601333,0.656256,0.571381,0.594830,
0.660521,0.601333,0.656256,0.571381,0.594830,
0.660933,0.600432,0.653896,0.571034,0.594847,
0.660933,0.600432,0.653896,0.571034,0.594847,
0.660300,0.599438,0.654063,0.570687,0.601132,
0.660300,0.599438,0.654063,0.570687,0.601132,
0.660038,0.598809,0.654672,0.570587,0.595562,
0.660038,0.598809,0.654672,0.570587,0.595562,
0.660057,0.597805,0.656182,0.570427,0.593642,
0.660057,0.597805,0.656182,0.570427,0.593642,
0.659209,0.594083,0.654782,0.569562,0.593528,
0.659209,0.594083,0.654782,0.569562,0.593528,
0.658942,0.593378,0.653655,0.569539,0.593450,
0.658942,0.593378,0.653655,0.569539,0.593450,
0.658891,0.591498,0.652749,0.569261,0.598721,
0.658891,0.591498,0.652749,0.569261,0.598721,
0.658577,0.590391,0.651336,0.569066,0.598434,
0.658577,0.590391,0.651336,0.569066,0.598434,
0.658051,0.593133,0.648647,0.569241,0.596985,
0.658051,0.593133,0.648647,0.569241,0.596985,
0.657373,0.592719,0.647483,0.568381,0.598367,
