Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.615480,0.572657,0.490086,0.554828,0.588231,
0.615188,0.544407,0.490518,0.555981,0.588423,
0.615188,0.544407,0.490518,0.555981,0.588423,
0.614840,0.569169,0.490352,0.556065,0.588385,
0.614840,0.569169,0.490352,0.556065,0.588385,
0.614631,0.512548,0.490331,0.555820,0.588342,
0.614631,0.512548,0.490331,0.555820,0.588342,
0.614473,0.543678,0.490938,0.556128,0.588572,
0.614473,0.543678,0.490938,0.556128,0.588572,
0.614202,0.509965,0.490746,0.555994,0.588427,
0.614202,0.509965,0.490746,0.555994,0.588427,
0.613800,0.517322,0.490744,0.555519,0.588456,
0.613800,0.517322,0.490744,0.555519,0.588456,
0.613286,0.517206,0.490833,0.555424,0.588460,
0.613286,0.517206,0.490833,0.555424,0.588460,
0.613004,0.517574,0.491583,0.555405,0.588518,
0.613004,0.517574,0.491583,0.555405,0.588518,
0.612838,0.510424,0.500087,0.555544,0.588813,
0.612838,0.510424,0.500087,0.555544,0.588813,
0.612501,0.520734,0.500008,0.555576,0.588822,
0.612501,0.520734,0.500008,0.555576,0.588822,
0.612210,0.509527,0.499557,0.555401,0.589014,
0.612210,0.509527,0.499557,0.555401,0.589014,
0.611794,0.510783,0.491417,0.554007,0.589126,
0.611794,0.510783,0.491417,0.554007,0.589126,
0.611712,0.517314,0.499445,0.554389,0.589426,
0.611712,0.517314,0.499445,0.554389,0.589426,
0.611565,0.509278,0.491769,0.554534,0.589543,
0.611565,0.509278,0.491769,0.554534,0.589543,
0.611270,0.511834,0.491422,0.554676,0.589448,
0.611270,0.511834,0.491422,0.554676,0.589448,
0.610868,0.518663,0.491502,0.553795,0.589376,
0.610868,0.518663,0.491502,0.553795,0.589376,
0.610764,0.512718,0.491486,0.555686,0.589792,
0.610764,0.512718,0.491486,0.555686,0.589792,
0.611017,0.518822,0.491096,0.556052,0.589816,
0.611017,0.518822,0.491096,0.556052,0.589816,
0.611160,0.557048,0.489399,0.556402,0.589797,
0.611160,0.557048,0.489399,0.556402,0.589797,
0.611206,0.537142,0.491260,0.555915,0.589744,
0.611206,0.537142,0.491260,0.555915,0.589744,
0.611415,0.574244,0.491290,0.557359,0.590482,
0.611415,0.574244,0.491290,0.557359,0.590482,
0.611641,0.568561,0.491894,0.557062,0.590485,
