Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.694335,0.625421,0.583972,0.661141,0.630910,
0.694335,0.625421,0.583972,0.661141,0.630910,
0.692057,0.624350,0.580270,0.660619,0.630790,
0.692057,0.624350,0.580270,0.660619,0.630790,
0.690247,0.624044,0.576170,0.660122,0.631243,
0.690247,0.624044,0.576170,0.660122,0.631243,
0.686661,0.622852,0.563737,0.661158,0.624065,
0.686661,0.622852,0.563737,0.661158,0.624065,
0.682547,0.621790,0.561470,0.657058,0.633858,
0.682547,0.621790,0.561470,0.657058,0.633858,
0.677674,0.619938,0.554809,0.659654,0.633614,
0.677674,0.619938,0.554809,0.659654,0.633614,
0.672511,0.617997,0.548701,0.659267,0.632395,
0.672511,0.617997,0.548701,0.659267,0.632395,
0.668438,0.617268,0.546260,0.659367,0.633797,
0.668438,0.617268,0.546260,0.659367,0.633797,
0.662989,0.613729,0.545833,0.661208,0.627671,
0.662989,0.613729,0.545833,0.661208,0.627671,
0.654957,0.613222,0.545946,0.654801,0.639035,
0.654957,0.613222,0.545946,0.654801,0.639035,
0.648678,0.612673,0.548761,0.650757,0.632112,
0.648678,0.612673,0.548761,0.650757,0.632112,
0.643869,0.611980,0.553306,0.650264,0.631019,
0.643869,0.611980,0.553306,0.650264,0.631019,
0.637974,0.609801,0.556801,0.650050,0.636548,
0.637974,0.609801,0.556801,0.650050,0.636548,
0.635738,0.607331,0.559748,0.651794,0.623815,
0.635738,0.607331,0.559748,0.651794,0.623815,
0.632634,0.604360,0.566525,0.647492,0.623882,
0.632634,0.604360,0.566525,0.647492,0.623882,
0.629368,0.600597,0.566872,0.646247,0.623910,
0.629368,0.600597,0.566872,0.646247,0.623910,
0.628650,0.598393,0.564756,0.649295,0.623248,
0.628650,0.598393,0.564756,0.649295,0.623248,
0.628670,0.597248,0.559702,0.649031,0.627555,
0.628670,0.597248,0.559702,0.649031,0.627555,
0.628386,0.585663,0.558847,0.648340,0.619676,
0.628386,0.585663,0.558847,0.648340,0.619676,
0.629284,0.572599,0.559667,0.648895,0.620957,
0.629284,0.572599,0.559667,0.648895,0.620957,
0.630288,0.557394,0.558340,0.653985,0.620746,
0.630288,0.557394,0.558340,0.653985,0.620746,
0.630597,0.551151,0.560113,0.652346,0.620109,
0.630597,0.551151,0.560113,0.652346,0.620109,
0.634142,0.548696,0.563424,0.643198,0.622867,
0.634142,0.548696,0.563424,0.643198,0.622867,
0.636440,0.543680,0.561895,0.643706,0.624374,
0.636440,0.543680,0.561895,0.643706,0.624374,
0.639934,0.541657,0.565257,0.652318,0.626826,
0.639934,0.541657,0.565257,0.652318,0.626826,
0.636917,0.539846,0.564337,0.653976,0.626267,
0.636917,0.539846,0.564337,0.653976,0.626267,
0.642140,0.538663,0.566549,0.641529,0.628928,
0.642140,0.538663,0.566549,0.641529,0.628928,
0.641305,0.531821,0.586457,0.641320,0.624323,
0.641305,0.531821,0.586457,0.641320,0.624323,
0.642088,0.528007,0.583239,0.640199,0.610505,
0.642088,0.528007,0.583239,0.640199,0.610505,
0.635906,0.521512,0.582810,0.639700,0.627618,
0.635906,0.521512,0.582810,0.639700,0.627618,
0.632308,0.527049,0.563619,0.638761,0.626665,
0.632308,0.527049,0.563619,0.638761,0.626665,
0.627902,0.543746,0.578299,0.641149,0.625128,
0.627902,0.543746,0.578299,0.641149,0.625128,
0.625267,0.515055,0.578193,0.639651,0.629257,
0.625267,0.515055,0.578193,0.639651,0.629257,
0.623008,0.512543,0.576031,0.633329,0.620124,
0.623008,0.512543,0.576031,0.633329,0.620124,
0.620513,0.512168,0.575574,0.639163,0.625254,
0.620513,0.512168,0.575574,0.639163,0.625254,
0.616355,0.521512,0.574190,0.638428,0.622306,
0.616355,0.521512,0.574190,0.638428,0.622306,
0.614210,0.520958,0.573473,0.637344,0.613074,
0.614210,0.520958,0.573473,0.637344,0.613074,
0.612099,0.520258,0.573765,0.640092,0.614753,
0.612099,0.520258,0.573765,0.640092,0.614753,
0.607413,0.516472,0.549795,0.640007,0.621595,
0.607413,0.516472,0.549795,0.640007,0.621595,
0.606056,0.516495,0.546888,0.638797,0.626801,
0.606056,0.516495,0.546888,0.638797,0.626801,
0.599090,0.517501,0.569944,0.638141,0.624354,
0.599090,0.517501,0.569944,0.638141,0.624354,
0.596776,0.517437,0.570040,0.639449,0.622855,
0.596776,0.517437,0.570040,0.639449,0.622855,
0.594855,0.517612,0.543062,0.635830,0.622744,
0.594855,0.517612,0.543062,0.635830,0.622744,
0.592525,0.517262,0.543187,0.635521,0.620990,
0.592525,0.517262,0.543187,0.635521,0.620990,
0.591981,0.511092,0.542911,0.635296,0.621787,
0.591981,0.511092,0.542911,0.635296,0.621787,
0.590001,0.509720,0.548901,0.638936,0.617031,
0.590001,0.509720,0.548901,0.638936,0.617031,
0.588010,0.509477,0.549262,0.645117,0.611262,
0.588010,0.509477,0.549262,0.645117,0.611262,
0.587130,0.503826,0.552326,0.633355,0.619157,
0.587130,0.503826,0.552326,0.633355,0.619157,
0.586838,0.511737,0.551986,0.632213,0.623484,
0.586838,0.511737,0.551986,0.632213,0.623484,
0.586848,0.517794,0.553333,0.632677,0.627486,
0.586848,0.517794,0.553333,0.632677,0.627486,
0.586031,0.500237,0.529658,0.631297,0.623493,
0.586031,0.500237,0.529658,0.631297,0.623493,
0.585364,0.495385,0.504818,0.630827,0.616878,
0.585364,0.495385,0.504818,0.630827,0.616878,
0.586027,0.497009,0.497390,0.630911,0.615924,
0.586027,0.497009,0.497390,0.630911,0.615924,
0.587379,0.527584,0.488461,0.632102,0.609358,
0.587379,0.527584,0.488461,0.632102,0.609358,
