Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.756788,0.822916,0.708517,0.723151,0.707051,
0.756788,0.822916,0.708517,0.723151,0.707051,
0.755973,0.819609,0.726511,0.724195,0.695121,
0.755973,0.819609,0.726511,0.724195,0.695121,
0.755229,0.770906,0.720663,0.724083,0.706915,
0.755229,0.770906,0.720663,0.724083,0.706915,
0.754919,0.771105,0.719113,0.722618,0.707143,
0.754919,0.771105,0.719113,0.722618,0.707143,
0.755883,0.771236,0.715094,0.721689,0.705614,
0.755883,0.771236,0.715094,0.721689,0.705614,
0.756347,0.772242,0.680499,0.720920,0.705668,
0.756347,0.772242,0.680499,0.720920,0.705668,
0.756773,0.772808,0.677340,0.721968,0.706573,
0.756773,0.772808,0.677340,0.721968,0.706573,
0.756133,0.773696,0.719208,0.721890,0.706182,
0.756133,0.773696,0.719208,0.721890,0.706182,
0.755882,0.775108,0.685872,0.721006,0.705808,
0.755882,0.775108,0.685872,0.721006,0.705808,
0.757110,0.781564,0.676558,0.720927,0.686103,
0.757110,0.781564,0.676558,0.720927,0.686103,
0.757697,0.786865,0.704237,0.720582,0.703390,
0.757697,0.786865,0.704237,0.720582,0.703390,
0.758319,0.789623,0.687719,0.721953,0.703490,
0.758319,0.789623,0.687719,0.721953,0.703490,
0.759200,0.791767,0.663388,0.722494,0.697723,
0.759200,0.791767,0.663388,0.722494,0.697723,
0.760314,0.795452,0.672979,0.724710,0.686716,
0.760314,0.795452,0.672979,0.724710,0.686716,
0.761320,0.797262,0.687632,0.720506,0.687792,
0.761320,0.797262,0.687632,0.720506,0.687792,
0.761027,0.797819,0.670674,0.722259,0.684587,
0.761027,0.797819,0.670674,0.722259,0.684587,
0.761346,0.800697,0.675898,0.723192,0.700044,
0.761346,0.800697,0.675898,0.723192,0.700044,
0.762454,0.804121,0.655403,0.712615,0.700692,
0.762454,0.804121,0.655403,0.712615,0.700692,
0.765202,0.811106,0.669243,0.725539,0.696320,
0.765202,0.811106,0.669243,0.725539,0.696320,
0.765096,0.812190,0.679415,0.725420,0.676561,
0.765096,0.812190,0.679415,0.725420,0.676561,
0.767572,0.813716,0.579716,0.726116,0.671658,
0.767572,0.813716,0.579716,0.726116,0.671658,
0.771665,0.815978,0.537683,0.725540,0.674996,
0.771665,0.815978,0.537683,0.725540,0.674996,
0.773048,0.823362,0.571987,0.726889,0.690735,
0.773048,0.823362,0.571987,0.726889,0.690735,
0.774993,0.815496,0.547594,0.727221,0.696769,
0.774993,0.815496,0.547594,0.727221,0.696769,
0.776783,0.809260,0.578554,0.727178,0.697433,
0.776783,0.809260,0.578554,0.727178,0.697433,
0.778607,0.824653,0.596100,0.727810,0.700095,
